Bed,261.5000,3.9184,1.4983,0.0000,1.0000,1.0000,1.0000,260.9954,3.9184,1.4983
Bed,271.5700,3.8988,-6.3007,180.0000,1.0000,1.0000,1.0000,260.9954,3.9184,1.4983
Desk,264.9190,3.8480,3.6209,0.0000,1.0000,1.0000,1.0000,264.9190,3.8480,3.6209
Desk,272.8656,3.8480,-5.0417,90.0000,1.0000,1.0000,1.0000,264.9190,3.8480,3.6209
Desk,263.4189,0.5683,-6.6894,180.0000,1.0000,1.0000,1.0000,264.9190,3.8480,3.6209
Toiled,262.6622,3.9413,-6.8387,0.0000,1.0000,1.0000,1.0000,262.6622,3.9413,-6.8387
Toiled,263.0361,0.5660,1.3138,90.0000,1.0000,1.0000,1.0000,262.6622,3.9413,-6.8387
Toiled,253.2105,0.4660,-4.0825,90.0000,1.0000,1.0000,1.0000,262.6622,3.9413,-6.8387
Washbasin,264.9330,4.2298,-5.5872,0.0000,1.0000,1.0000,1.0000,264.9330,4.2298,-5.5872
Washbasin,264.3969,0.7498,0.1467,90.0000,1.0000,1.0000,1.0000,264.9330,4.2298,-5.5872
Washbasin,254.5714,0.7498,-5.2496,90.0000,1.0000,1.0000,1.0000,264.9330,4.2298,-5.5872
Shower,260.2924,5.2480,-4.5696,0.0000,1.0000,1.0000,1.0000,260.2924,5.2480,-4.5696
Shower,263.0516,1.6680,3.1690,0.0000,1.0000,1.0000,1.0000,260.2924,5.2480,-4.5696
